"","cat_pais","ncat_eleccion","ncat_ronda","nombres_candidatos","v2pashname","v2pariglef_vdem","source_v2pariglef","v2paactcom_vdem","source_v2paactcom"
"1","Brasil",1989,1,"Leonel Brizola","PDT",NA,NA,NA,NA
"2","Brasil",1989,1,"Luiz Inacio Lula da Silva","PT",NA,NA,NA,NA
"3","Brasil",1989,1,"Mario Covas","PSDB",NA,NA,NA,NA
"4","Brasil",1989,1,"Paulo Maluf","PDS",NA,NA,NA,NA
"5","Brasil",1989,1,"Aureliano Chaves","PFL",NA,NA,NA,NA
"6","Brasil",1989,1,"Guilherme Afif Domingos","PR / PL",NA,NA,NA,NA
"7","Brasil",1989,1,"Roberto Freire",NA,NA,NA,NA,NA
"8","Brasil",1989,1,"Ronaldo Caiado","PSD",NA,NA,NA,NA
"9","Brasil",1989,1,"Affonso Camargo","PTB",NA,NA,NA,NA
"10","Brasil",1989,1,"Ulysses Guimaraes","PMDB",NA,NA,NA,NA
"11","Brasil",1989,2,"Fernando Collor de Mello","PRN",NA,NA,NA,NA
"12","Brasil",1989,2,"Luiz Inacio Lula da Silva","PT",-2.448,"Proyectado. Ultimo valor disponible V-DEM",0.517,"Proyectado. Ultimo valor disponible V-DEM"
"13","Brasil",1994,1,"Fernando Henrique Cardoso","PSDB",0.386,"VDEM",-0.551,"VDEM"
"14","Brasil",1994,1,"Leonel Brizola","PDT",-1.19,"VDEM",-0.908,"VDEM"
"15","Brasil",1994,1,"Eneas Ferreira Carneiro",NA,NA,NA,NA,NA
"16","Brasil",1994,1,"Esperidiao Amin","PP",NA,NA,NA,NA
"17","Brasil",1994,1,"Flavio Gurgel Rocha","PL",NA,NA,NA,NA
"18","Brasil",1994,1,"Hernani Goulart Fortuna",NA,NA,NA,NA,NA
"19","Brasil",1994,1,"Luiz Inacio Lula da Silva","PT",-2.631,"VDEM",0.712,"VDEM"
"20","Brasil",1994,1,"Orestes Quercia","PMDB",0.091,"VDEM",0.066,"VDEM"
"21","Brasil",2002,1,"Luiz Inacio Lula da Silva","PT",-1.455,"VDEM",0.712,"VDEM"
"22","Brasil",2002,1,"Jose Serra","PSDB",0.871,"VDEM",-0.155,"VDEM"
"23","Brasil",2002,1,"Ciro Gomes","PPS",NA,NA,NA,NA
"24","Brasil",2002,1,"Anthony Garotinho","PSB",-1.647,"VDEM",-1.277,"VDEM"
"25","Brasil",2002,2,"Luiz Inacio Lula da Silva","PT",-1.455,"VDEM",0.712,"VDEM"
"26","Brasil",2002,2,"Jose Serra","PSDB",0.871,"VDEM",-0.155,"VDEM"
"27","Brasil",2006,1,"Geraldo Alckmin","PSDB",1.09,"VDEM",-0.441,"VDEM"
"28","Brasil",2006,1,"Jose Maria Eymael","PSDC",NA,NA,NA,NA
"29","Brasil",2006,1,"Luciano Bivar","PSL",NA,NA,NA,NA
"30","Brasil",2006,1,"Cristovam Buarque","PDT",-1.192,"VDEM",-1.079,"VDEM"
"31","Brasil",2006,1,"Heloisa Helena","PSOL",NA,NA,NA,NA
"32","Brasil",2006,2,"Geraldo Alckmin","PSDB",1.09,"VDEM",-0.441,"VDEM"
"33","Brasil",2006,2,"Luiz Inacio Lula da Silva","PT",-1.455,"VDEM",0.818,"VDEM"
"34","Brasil",2010,1,"Marina Silva","PV",NA,NA,NA,NA
"35","Brasil",2010,1,"Jose Serra","PSDB",1.09,"VDEM",-0.441,"VDEM"
"36","Brasil",2010,1,"Dilma Rousseff","PT",-1.296,"VDEM",0.756,"VDEM"
"37","Brasil",2010,1,"Plinio Sampaio","PSOL",NA,NA,NA,NA
"38","Brasil",2010,2,"Jose Serra","PSDB",1.09,"VDEM",-0.441,"VDEM"
"39","Brasil",2010,2,"Dilma Rousseff","PT",-1.296,"VDEM",0.756,"VDEM"
"40","Brasil",2014,1,"Dilma Rousseff","PT",-1.46,"VDEM",0.756,"VDEM"
"41","Brasil",2014,1,"Aecio Neves","PSDB",1.521,"VDEM",-0.441,"VDEM"
"42","Brasil",2014,1,"Marina Silva","PSB",-1.144,"VDEM",-1.251,"VDEM"
"43","Brasil",2014,1,"Luciana Genro","PSOL",NA,NA,NA,NA
"44","Brasil",2014,1,"Pastor Everaldo",NA,NA,NA,NA,NA
"45","Brasil",2014,1,"Levy Fidelix",NA,NA,NA,NA,NA
"46","Brasil",2014,1,"Eduardo Jorge","PV",NA,NA,NA,NA
"47","Brasil",2014,1,"Jose Maria Eymael","PSDC",NA,NA,NA,NA
"48","Brasil",2014,2,"Dilma Rousseff","PT",-1.46,"VDEM",0.756,"VDEM"
"49","Brasil",2014,2,"Aecio Neves","PSDB",1.521,"VDEM",-0.441,"VDEM"
"50","Brasil",2018,1,"Alvaro Dias",NA,NA,NA,NA,NA
"51","Brasil",2018,1,"Geraldo Alckmin","PSDB",1.431,"VDEM",-0.764,"VDEM"
"52","Brasil",2018,1,"Marina Silva",NA,NA,NA,NA,NA
"53","Brasil",2018,1,"Henrique Meirelles",NA,NA,NA,NA,NA
"54","Brasil",2018,1,"Guilherme Boulos",NA,NA,NA,NA,NA
"55","Brasil",2018,1,"Ciro Gomes","PDT",-1.175,"VDEM",-0.905,"VDEM"
"56","Brasil",2018,1,"Cabo Daciolo",NA,NA,NA,NA,NA
"57","Brasil",2018,1,"Jair Bolsonaro","PSL",3.251,"VDEM",-0.654,"VDEM"
"58","Brasil",2018,1,"Fernando Haddad","PT",-1.896,"VDEM",0.567,"VDEM"
"59","Brasil",2022,1,"Jair Bolsonaro","PL",1.532,"Proyectado. Ultimo valor disponible V-DEM",-2.109,"Proyectado. Ultimo valor disponible V-DEM"
"60","Brasil",2022,1,"Luiz Inacio Lula da Silva","PT",-1.896,"Proyectado. Ultimo valor disponible V-DEM",0.567,"Proyectado. Ultimo valor disponible V-DEM"
"61","Brasil",2022,1,"Luiz Felipe d'Avila",NA,NA,NA,NA,NA
"62","Brasil",2022,1,"Ciro Gomes","PDT",-1.175,"Proyectado. Ultimo valor disponible V-DEM",-0.905,"Proyectado. Ultimo valor disponible V-DEM"
"63","Brasil",2022,1,"Simone Tebet",NA,NA,NA,NA,NA
"64","Brasil",2022,1,"Soraya Thronicke",NA,NA,NA,NA,NA
"65","Brasil",2022,1,"Kelmon Souza","PTB",1.042,"Proyectado. Ultimo valor disponible V-DEM",-2.099,"Proyectado. Ultimo valor disponible V-DEM"
"66","Brasil",2022,2,"Jair Bolsonaro","PL",1.532,"Proyectado. Ultimo valor disponible V-DEM",-2.109,"Proyectado. Ultimo valor disponible V-DEM"
"67","Brasil",2022,2,"Luiz Inacio Lula da Silva","PT",-1.896,"Proyectado. Ultimo valor disponible V-DEM",0.567,"Proyectado. Ultimo valor disponible V-DEM"
"68","Chile",1989,1,"Hernan Buchi","Alliance",NA,"VDEM",NA,"VDEM"
"69","Chile",1989,1,"Patricio Aylwin Azocar","C",NA,"VDEM",NA,"VDEM"
"70","Chile",1993,1,"Eduardo Frei Ruiz-Tagle","C",NA,"VDEM",NA,"VDEM"
"71","Chile",1993,1,"Arturo Alessandri Besa","Alliance",NA,"VDEM",NA,"VDEM"
"72","Chile",2000,1,"Joaquin Lavin Infante","Alliance",NA,NA,NA,NA
"73","Chile",2000,1,"Ricardo Lagos Escobar","C",NA,NA,NA,NA
"74","Chile",2006,1,"Michelle Bachelet","C",NA,"VDEM",NA,"VDEM"
"75","Chile",2006,1,"Tomas Hirsch Goldschmidt","PODEMOS",NA,"VDEM",NA,"VDEM"
"76","Chile",2006,1,"Joaquin Lavin Infante","UDI",2.619,"VDEM",0.473,"VDEM"
"77","Chile",2006,1,"Sebastian Pinera","RN",1.669,"VDEM",-0.977,"VDEM"
"78","Chile",2006,2,"Sebastian Pinera","RN",1.669,"Proyectado. Ultimo valor disponible V-DEM",-0.977,"Proyectado. Ultimo valor disponible V-DEM"
"79","Chile",2006,2,"Michelle Bachelet","C",NA,NA,NA,NA
"80","Chile",2010,1,"Jorge Arrate Mac Niven","PODEMOS",NA,NA,NA,NA
"81","Chile",2010,1,"Marco Enriquez-Ominami","C",NA,"VDEM",NA,"VDEM"
"82","Chile",2010,1,"Sebastian Pinera","RN",1.669,"VDEM",-0.977,"VDEM"
"83","Chile",2010,1,"Eduardo Frei Ruiz-Tagle","C",NA,"VDEM",NA,"VDEM"
"84","Chile",2010,2,"Sebastian Pinera","RN",1.669,"Proyectado. Ultimo valor disponible V-DEM",-0.977,"Proyectado. Ultimo valor disponible V-DEM"
"85","Chile",2010,2,"Eduardo Frei Ruiz-Tagle","C",NA,NA,NA,NA
"86","Chile",2013,1,"Franco Parisi",NA,NA,NA,NA,NA
"87","Chile",2013,1,"Marcel Claude","PH",NA,NA,NA,NA
